t,psFlux,psFluxErr,psMag,psMagErr
0,5.843078268814088e-05,1.3094036670287034e-06,19.48346136282763,0.024330787686413505
3,5.585743868688577e-05,1.301106270137387e-06,19.532363078584005,0.02529042177613555
6,5.712780816371376e-05,1.3178664379939807e-06,19.50794671803253,0.025046564024743118
9,5.9260236738374637e-05,1.3062318265557348e-06,19.468157167012244,0.02393212150265536
12,5.7835346856255257e-05,1.3132969714485701e-06,19.494582260975744,0.024654370501915584
15,5.833457090423694e-05,1.3401931692439122e-06,19.48525060317223,0.0249439778618817
18,6.050292951190514e-05,1.351209221077047e-06,19.44562461374803,0.024247698142247955
21,6.010415968663975e-05,1.3407246023433618e-06,19.452804298080725,0.024219176325955823
24,5.969663028824158e-05,1.334914922062771e-06,19.460191079572933,0.024278848808672336
27,5.808720478290462e-05,1.3545425521608157e-06,19.489864426597254,0.02531841384454606
30,5.783776669828862e-05,1.3436687527251818e-06,19.494536834514484,0.025223481045631303
33,5.942582674435171e-05,1.345036173732913e-06,19.465127541190718,0.02457440729960012
36,5.968596890300927e-05,1.3375962248136115e-06,19.460385001502072,0.02433196068221506
39,5.6248476850955716e-05,1.3318170809029666e-06,19.524788705509565,0.025707398738692572
42,5.808327420974357e-05,1.3515777034497993e-06,19.489937897338272,0.025264705995743007
45,5.8118326699879147e-05,1.3453391572832164e-06,19.48928286748561,0.025132923015559167
48,6.024111677303624e-05,1.3556614946344392e-06,19.450333086317904,0.02443332469526766
51,5.627458444093529e-05,1.3289092794830567e-06,19.524284880678586,0.025639370453071516
54,6.074131971785727e-05,1.3166163301194316e-06,19.441355063437054,0.023534194252387827
57,5.7264922769582384e-05,1.3158450765932748e-06,19.505343923923625,0.024948267986993934
60,5.8695686763595583e-05,1.332492872486812e-06,19.47855015125835,0.024648076102559348
63,6.079463139345695e-05,1.3314837026798704e-06,19.440402548242695,0.023779074383869555
66,5.854017893416084e-05,1.3286884280742094e-06,19.48143050836681,0.02464299148838972
69,5.9619100720055715e-05,1.3493188708354235e-06,19.461602069896745,0.024572734780223773
72,5.672527364911543e-05,1.3113386951717051e-06,19.515624123163303,0.025099357067101726
75,5.72860132513181e-05,1.304779529008004e-06,19.50494412448679,0.02472935876435168
78,5.411599547667727e-05,1.2769241374667793e-06,19.56675149276425,0.025619093847672747
81,5.617015379397081e-05,1.2954400579914545e-06,19.526301589840344,0.025040098291599557
84,5.515716441629504e-05,1.2687517004760795e-06,19.54606079387849,0.024974627877142264
87,5.48104554072445e-05,1.2912839650605182e-06,19.552907095936266,0.025578947320779408
380,6.17321390894341e-05,1.389018327152002e-06,19.423787307207647,0.02442985953680688
383,6.052389808649921e-05,1.3790210931589991e-06,19.445248394007685,0.02473821375199632
386,5.7285407567161035e-05,1.377830956902698e-06,19.50495560402005,0.02611417143522881
389,6.278598441088388e-05,1.4196471599730967e-06,19.405408852602683,0.024549464884995154
392,6.118558765006308e-05,1.4392644228706243e-06,19.433442783469516,0.025539699006704563
395,6.265051812630054e-05,1.4232434589700703e-06,19.40775395476835,0.024664871062579405
398,5.905839623893178e-05,1.3851755848854713e-06,19.47186149903328,0.025465223884047282
401,5.8962703525593334e-05,1.3686960693823697e-06,19.47362215143151,0.025203099365916148
404,6.022653931100712e-05,1.37325052631448e-06,19.450595850264516,0.024756325561450472
